"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 06 16:03:56 CST 2021","Tue Jul 06 16:03:56 CST 2021","0","scripts","py_test","TestCase","","","test3",""
"failed","Tue Jul 06 16:03:56 CST 2021","Tue Jul 06 16:03:56 CST 2021","0","scripts","py_test","TestCase","","","test1",""
"passed","Tue Jul 06 16:03:56 CST 2021","Tue Jul 06 16:03:56 CST 2021","0","scripts","py_test","TestCase","","","test2",""
